League,Sport,Country,Teams,Games,Total attendance,Average attendance,Year
National Basketball Association (NBA),Basketball,United States Canada,30,1230,22124559,17987,2017
National Hockey League (NHL),Ice hockey,United States Canada,31,1271,22174362,17446,2017
Big3,Basketball,United States,8,32,431500,13484,2018
National Lacrosse League (NLL),Indoor lacrosse,United States Canada,9,81,762367,9411,2018
EuroLeague,Basketball,Europe,16,259,2194238,8472,2016
Women's National Basketball Association (WNBA),Women's basketball,United States,12,204,1465432,7183,2015
Nationalliga A,Ice hockey,Switzerland,12,300,2064737,6882,2016
Philippine Basketball Association (PBA),Basketball,Philippines,10,219,737782,6647,2005
Deutsche Eishockey Liga (DEL),Ice hockey,Germany,14,364,2419630,6647,2015
Liga ACB,Basketball,Spain,17,295,1904534,6456,2016
National Basketball League (NBL),Basketball,Australia New Zealand,8,120,725749,6048,2016
American Hockey League (AHL),Ice hockey,United States Canada,30,1120,6693526,5982,2015
Swedish Hockey League,Ice hockey,Sweden,14,364,2077496,5707,2016
Czech Extraliga,Ice hockey,Czech Republic,14,364,1884960,5178,2016
Handball-Bundesliga (HBL),Handball,Germany,19,342,1568167,4585,2014
ECHL,Ice hockey,United States,23,857,3887562,4536,2014
Basketball Bundesliga (BBL),Basketball,Germany,18,306,1375179,4494,2013
Liiga,Ice hockey,Finland,15,450,1946968,4326,2016
Chinese Basketball Association (CBA),Basketball,People's Republic of China,20,380,1791320,4714,2015
Canadian Hockey League (CHL),Junior ice hockey,Canada United States,60,2084,8267924,3967,2015
Lega Basket Serie A (LBA),Basketball,Italy,16,240,926910,3862,2008
Korean Basketball League (KBL),Basketball,South Korea,10,270,1027297,3805,2010
Ligue Nationale de Handball (LNH),Handball,France,14,182,460143,3528,2012
Nationalliga B,Ice Hockey,Switzerland,9,216,756000,3500,2014
Elite Ice Hockey League,Ice Hockey,United Kingdom,10,320,940000,2842,2016
Southern Professional Hockey League,Ice hockey,United States,9,252,704664,2796,2011
United States Hockey League,Junior ice hockey,United States,17,510,1384820,2715,2014
HockeyAllsvenskan,Ice hockey,Sweden,14,364,959914,2637,2016
Lega Pallavolo Serie A,Volleyball,Italy,13,156,381576,2446,2014
Russian Basketball Super League,Basketball,Russia,10,176,385702,2401,2010
Polish Volleyball League,Volleyball,Poland,14,182,382701,2103,2018
Polska Liga Koszykówki,Basketball,Poland,16,271,551121,2034,2014
National Basketball League of Canada,Basketball,Canada,10,200,400544,2003,2017
